timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134007,4a6ebee7cc4da26fd2215b813ebb630330524e03,,1623228288,[VENDOR] Update dependencies LRN-32078,,,x,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62,0,,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,0,,
20260324_134007,182318b6d7bcaebb7bd16be89a2293f781de2a80,4a6ebee7cc4da26fd2215b813ebb630330524e03,1666266717,[TESTS] Added a test case to ensure special characters can be used during signature creation LRN-36469,https://github.com/Learnosity/learnosity-sdk-python/compare/4a6ebee7cc4da26fd2215b813ebb630330524e03...182318b6d7bcaebb7bd16be89a2293f781de2a80,2,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,
20260324_134007,2797a8d755032ccf2e8df7032532a2b7b2b065dc,182318b6d7bcaebb7bd16be89a2293f781de2a80,1675033453,[Feature] Initialize example  api and adding hmac256 to hash function - LRN-39611,https://github.com/Learnosity/learnosity-sdk-python/compare/182318b6d7bcaebb7bd16be89a2293f781de2a80...2797a8d755032ccf2e8df7032532a2b7b2b065dc,4,x,0,,0,,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,
20260324_134007,4f747c8c4ee8bfe1706d11d9098a2a78145631ad,2797a8d755032ccf2e8df7032532a2b7b2b065dc,1689839823,[FEATURE] Add annotations as a valid service,https://github.com/Learnosity/learnosity-sdk-python/compare/2797a8d755032ccf2e8df7032532a2b7b2b065dc...4f747c8c4ee8bfe1706d11d9098a2a78145631ad,1,x,0,,0,,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,
20260324_134007,2a5305908da26f4fcd43497e0fbc506c96ac222f,4f747c8c4ee8bfe1706d11d9098a2a78145631ad,1689841648,[TEST] Add annotations API service test,https://github.com/Learnosity/learnosity-sdk-python/compare/4f747c8c4ee8bfe1706d11d9098a2a78145631ad...2a5305908da26f4fcd43497e0fbc506c96ac222f,1,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,
20260324_134007,47f5f05b5b5903c7dc761887b33bfaa7d980fc79,2a5305908da26f4fcd43497e0fbc506c96ac222f,1693318273,[VENDOR] Set certifi minimum version to 2023.7.22 LRN-41302,https://github.com/Learnosity/learnosity-sdk-python/compare/2a5305908da26f4fcd43497e0fbc506c96ac222f...47f5f05b5b5903c7dc761887b33bfaa7d980fc79,1,x,0,,0,,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,
20260324_134007,dfa2070b12a96def7b9f49eea299b9827addd864,47f5f05b5b5903c7dc761887b33bfaa7d980fc79,1693920218,[RELEASE] Bump Version LRN-41302,https://github.com/Learnosity/learnosity-sdk-python/compare/47f5f05b5b5903c7dc761887b33bfaa7d980fc79...dfa2070b12a96def7b9f49eea299b9827addd864,1,x,0,,0,,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,
20260324_134007,bc52e0a2740cb077a4e0c2a1c4cf8712343f97d1,dfa2070b12a96def7b9f49eea299b9827addd864,1695389291,[BUG] Add support for expires date in security object - LRN-41593,https://github.com/Learnosity/learnosity-sdk-python/compare/dfa2070b12a96def7b9f49eea299b9827addd864...bc52e0a2740cb077a4e0c2a1c4cf8712343f97d1,1,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,
20260324_134007,79f9d4f7b887ea476c71390d97f897f81b97f7a7,bc52e0a2740cb077a4e0c2a1c4cf8712343f97d1,1695902647,[DOC] Bump version - LRN-41663,https://github.com/Learnosity/learnosity-sdk-python/compare/bc52e0a2740cb077a4e0c2a1c4cf8712343f97d1...79f9d4f7b887ea476c71390d97f897f81b97f7a7,1,x,0,,0,,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,
20260324_134007,962d6c5e3ae402d02df4938b32e5d571ddd1b078,79f9d4f7b887ea476c71390d97f897f81b97f7a7,1707870009,[BUG/BUILD] Pass git author/committer info into container,https://github.com/Learnosity/learnosity-sdk-python/compare/79f9d4f7b887ea476c71390d97f897f81b97f7a7...962d6c5e3ae402d02df4938b32e5d571ddd1b078,1,x,0,,0,,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,5,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InvalidComparisonAnalysis:/learnosity_sdk/request/dataapi.py:62=1,
