timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134023,f19b8e2184eb3d38860b6940a6046ffb01c95579,,1706637789,Remove support for info={'marshmallow': ...} (#567),,,x,10,ComparisonBehaviorAnalysis:/tests/conftest.py:112;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1103;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263;ComparisonBehaviorAnalysis:/tests/conftest.py:112,0,,10,ComparisonBehaviorAnalysis:/tests/conftest.py:112=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1103=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=2,0,,
20260324_134023,6a39fac96e5674cba2a56077063a26fbc603f451,f19b8e2184eb3d38860b6940a6046ffb01c95579,1706638031,Remove __version__ (#568),https://github.com/marshmallow-code/marshmallow-sqlalchemy/compare/f19b8e2184eb3d38860b6940a6046ffb01c95579...6a39fac96e5674cba2a56077063a26fbc603f451,1,x,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:463,0,,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:463=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1103=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=2,10,ComparisonBehaviorAnalysis:/tests/conftest.py:112=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1103=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=2,
20260324_134023,17abc07fee8388ab943cb80922b6cdf931c60c6d,6a39fac96e5674cba2a56077063a26fbc603f451,1710283133,[pre-commit.ci] auto fixes from pre-commit.com hooks,https://github.com/marshmallow-code/marshmallow-sqlalchemy/compare/6a39fac96e5674cba2a56077063a26fbc603f451...17abc07fee8388ab943cb80922b6cdf931c60c6d,1,x,0,,0,,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:463=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1103=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=2,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:463=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1103=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=2,
20260324_134023,faf00ba136c3556b260095ab2420481aac346456,17abc07fee8388ab943cb80922b6cdf931c60c6d,1736212021,Fix marshmallow 3.24 and 4.0 compat (#628),https://github.com/marshmallow-code/marshmallow-sqlalchemy/compare/17abc07fee8388ab943cb80922b6cdf931c60c6d...faf00ba136c3556b260095ab2420481aac346456,5,x,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:463;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1103,11,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=2,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1639=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:463=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1103=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;ComparisonBehaviorAnalysis:/tests/conftest.py:112=2,ComparisonBehaviorAnalysis:/tests/conftest.py:114<=ComparisonBehaviorAnalysis:/tests/conftest.py:112
20260324_134023,50713172b25d6e2f1603e44aab8bcec98fca2d49,faf00ba136c3556b260095ab2420481aac346456,1736381780,Fix type (#632),https://github.com/marshmallow-code/marshmallow-sqlalchemy/compare/faf00ba136c3556b260095ab2420481aac346456...50713172b25d6e2f1603e44aab8bcec98fca2d49,3,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431,10,ComparisonBehaviorAnalysis:/tests/conftest.py:114=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=2,11,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=2,
20260324_134023,38f8230dad260d57c0646493cc328b90586fd944,50713172b25d6e2f1603e44aab8bcec98fca2d49,1736433610,Remove unused _merge_validators method (#633),https://github.com/marshmallow-code/marshmallow-sqlalchemy/compare/50713172b25d6e2f1603e44aab8bcec98fca2d49...38f8230dad260d57c0646493cc328b90586fd944,2,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1821,0,,11,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1821=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=2,10,ComparisonBehaviorAnalysis:/tests/conftest.py:114=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=2,
20260324_134023,056e86f6dba00e4fbe998652363898200ec7fa5a,38f8230dad260d57c0646493cc328b90586fd944,1736572986,Migrate to furo (#636),https://github.com/marshmallow-code/marshmallow-sqlalchemy/compare/38f8230dad260d57c0646493cc328b90586fd944...056e86f6dba00e4fbe998652363898200ec7fa5a,8,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1821,10,ComparisonBehaviorAnalysis:/tests/conftest.py:127=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=2,11,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1821=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:114=2,ComparisonBehaviorAnalysis:/tests/conftest.py:127<=ComparisonBehaviorAnalysis:/tests/conftest.py:114
20260324_134023,3f3fb97136a7f51342f34ee924723f211b1cb0d7,056e86f6dba00e4fbe998652363898200ec7fa5a,1736576013,Add type annotations to fields (#638),https://github.com/marshmallow-code/marshmallow-sqlalchemy/compare/056e86f6dba00e4fbe998652363898200ec7fa5a...3f3fb97136a7f51342f34ee924723f211b1cb0d7,2,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431,0,,11,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=2,10,ComparisonBehaviorAnalysis:/tests/conftest.py:127=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=2,
20260324_134023,11971438fe15f1110136c59df68a8be30fb1d526,3f3fb97136a7f51342f34ee924723f211b1cb0d7,1736605680,Documentation improvements (#639),https://github.com/marshmallow-code/marshmallow-sqlalchemy/compare/3f3fb97136a7f51342f34ee924723f211b1cb0d7...11971438fe15f1110136c59df68a8be30fb1d526,5,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1821,0,,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1821=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=2,11,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=2,
20260324_134023,9fbdc4245ad87548faab44986fa31dfd522440ed,11971438fe15f1110136c59df68a8be30fb1d526,1736607355,Fix generation of Enum field (#640),https://github.com/marshmallow-code/marshmallow-sqlalchemy/compare/11971438fe15f1110136c59df68a8be30fb1d526...9fbdc4245ad87548faab44986fa31dfd522440ed,2,x,0,,10,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1821;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161,2,ComparisonBehaviorAnalysis:/tests/conftest.py:127=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=2,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1821=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/python.py:431=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/clsregistry.py:280=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:2467=1;StringConcatAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/schema.py:2263=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1161=1;ComparisonBehaviorAnalysis:/tests/conftest.py:127=2,
