timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134044,1f5413f77187ed8d69dac35cadb41fc378b50765,,1763764278,feat: Add CLI regression tests for Pokedex commands,,,47.85,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167;RandomMustUseSeed:/pokedo/utils/helpers.py:28;RandomMustUseSeed:/pokedo/core/rewards.py:285,0,,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/rewards.py:285=1,0,,
20260324_134044,29333e87897819d459f7ee97481e379a590645b3,1f5413f77187ed8d69dac35cadb41fc378b50765,1763764832,feat: Enhance installation instructions and add persistence tests for SQLite database,https://github.com/tldrwtf/pokedo/compare/1f5413f77187ed8d69dac35cadb41fc378b50765...29333e87897819d459f7ee97481e379a590645b3,1,49.09,0,,0,,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/rewards.py:285=1,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/rewards.py:285=1,
20260324_134044,20007c94228c1e627def9b0f9181af37e8d24723,29333e87897819d459f7ee97481e379a590645b3,1763765503,fix : Linting errors,https://github.com/tldrwtf/pokedo/compare/29333e87897819d459f7ee97481e379a590645b3...20007c94228c1e627def9b0f9181af37e8d24723,24,48.7,0,,0,,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/rewards.py:288=1,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/rewards.py:285=1,RandomMustUseSeed:/pokedo/utils/helpers.py:28<=RandomMustUseSeed:/pokedo/utils/helpers.py:28;RandomMustUseSeed:/pokedo/core/rewards.py:288<=RandomMustUseSeed:/pokedo/core/rewards.py:285
20260324_134044,01a1ec97ca18881c2ced5cabe4767ef03fa17fa6,20007c94228c1e627def9b0f9181af37e8d24723,1763765739,fix: Formatting with black,https://github.com/tldrwtf/pokedo/compare/20007c94228c1e627def9b0f9181af37e8d24723...01a1ec97ca18881c2ced5cabe4767ef03fa17fa6,18,48.7,0,,0,,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/rewards.py:278=1,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/rewards.py:288=1,RandomMustUseSeed:/pokedo/core/rewards.py:278<=RandomMustUseSeed:/pokedo/core/rewards.py:288
20260324_134044,51f1f18afecc9b35b51d895b7d56617d81e24043,01a1ec97ca18881c2ced5cabe4767ef03fa17fa6,1764956408,feat: implement EV/IV system and task affinity properties,https://github.com/tldrwtf/pokedo/compare/01a1ec97ca18881c2ced5cabe4767ef03fa17fa6...51f1f18afecc9b35b51d895b7d56617d81e24043,8,47.14,1,RandomMustUseSeed:/pokedo/core/pokemon.py:109,0,,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:278=1,8,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/rewards.py:278=1,
20260324_134044,d4932b47827ea79554b105ea4b7275e53b303706,51f1f18afecc9b35b51d895b7d56617d81e24043,1764962353,"feat: Implement EV/IV system, trainer classes, and FastAPI server for cloud sync",https://github.com/tldrwtf/pokedo/compare/51f1f18afecc9b35b51d895b7d56617d81e24043...d4932b47827ea79554b105ea4b7275e53b303706,13,53.400000000000006,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350;RandomMustUseSeed:/pokedo/core/rewards.py:197;RandomMustUseSeed:/pokedo/core/rewards.py:287;RandomMustUseSeed:/pokedo/core/rewards.py:219,0,,18,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:294=1;RandomMustUseSeed:/pokedo/core/rewards.py:197=1;RandomMustUseSeed:/pokedo/core/rewards.py:287=1;RandomMustUseSeed:/pokedo/core/rewards.py:219=1,9,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:278=1,RandomMustUseSeed:/pokedo/core/rewards.py:294<=RandomMustUseSeed:/pokedo/core/rewards.py:278
20260324_134044,7a60359abb3fe09397fe3c32fc34661e2022b017,d4932b47827ea79554b105ea4b7275e53b303706,1764975120,feat: Enhance documentation and synchronization features; update authentication methods and dependencies,https://github.com/tldrwtf/pokedo/compare/d4932b47827ea79554b105ea4b7275e53b303706...7a60359abb3fe09397fe3c32fc34661e2022b017,10,54.93,0,,0,,18,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:298=1;RandomMustUseSeed:/pokedo/core/rewards.py:201=1;RandomMustUseSeed:/pokedo/core/rewards.py:291=1;RandomMustUseSeed:/pokedo/core/rewards.py:223=1,18,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:294=1;RandomMustUseSeed:/pokedo/core/rewards.py:197=1;RandomMustUseSeed:/pokedo/core/rewards.py:287=1;RandomMustUseSeed:/pokedo/core/rewards.py:219=1,RandomMustUseSeed:/pokedo/core/rewards.py:298<=RandomMustUseSeed:/pokedo/core/rewards.py:294;RandomMustUseSeed:/pokedo/core/rewards.py:201<=RandomMustUseSeed:/pokedo/core/rewards.py:197;RandomMustUseSeed:/pokedo/core/rewards.py:291<=RandomMustUseSeed:/pokedo/core/rewards.py:287;RandomMustUseSeed:/pokedo/core/rewards.py:223<=RandomMustUseSeed:/pokedo/core/rewards.py:219
20260324_134044,ae062a391c02dfcda77bd4a90aa06d5f0048ef87,7a60359abb3fe09397fe3c32fc34661e2022b017,1768415051,feat: Begin implementation of TUI,https://github.com/tldrwtf/pokedo/compare/7a60359abb3fe09397fe3c32fc34661e2022b017...ae062a391c02dfcda77bd4a90aa06d5f0048ef87,11,56.08,4,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:352;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256,0,,22,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:352=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:320=1;RandomMustUseSeed:/pokedo/core/rewards.py:202=1;RandomMustUseSeed:/pokedo/core/rewards.py:313=1;RandomMustUseSeed:/pokedo/core/rewards.py:227=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1,18,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:298=1;RandomMustUseSeed:/pokedo/core/rewards.py:201=1;RandomMustUseSeed:/pokedo/core/rewards.py:291=1;RandomMustUseSeed:/pokedo/core/rewards.py:223=1,RandomMustUseSeed:/pokedo/core/rewards.py:320<=RandomMustUseSeed:/pokedo/core/rewards.py:298;RandomMustUseSeed:/pokedo/core/rewards.py:202<=RandomMustUseSeed:/pokedo/core/rewards.py:201;RandomMustUseSeed:/pokedo/core/rewards.py:313<=RandomMustUseSeed:/pokedo/core/rewards.py:291;RandomMustUseSeed:/pokedo/core/rewards.py:227<=RandomMustUseSeed:/pokedo/core/rewards.py:223
20260324_134044,8ccf7ee3a6930b02f438562d4c48ced2de46d21c,ae062a391c02dfcda77bd4a90aa06d5f0048ef87,1768416669,feat: Speed up init and update auth deprecations,https://github.com/tldrwtf/pokedo/compare/ae062a391c02dfcda77bd4a90aa06d5f0048ef87...8ccf7ee3a6930b02f438562d4c48ced2de46d21c,6,57.82000000000001,0,,0,,22,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:352=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:320=1;RandomMustUseSeed:/pokedo/core/rewards.py:202=1;RandomMustUseSeed:/pokedo/core/rewards.py:313=1;RandomMustUseSeed:/pokedo/core/rewards.py:227=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1,22,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:352=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:320=1;RandomMustUseSeed:/pokedo/core/rewards.py:202=1;RandomMustUseSeed:/pokedo/core/rewards.py:313=1;RandomMustUseSeed:/pokedo/core/rewards.py:227=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1,
20260324_134044,94aab7403d8ca037f76a803db1642efe7b5f17b3,8ccf7ee3a6930b02f438562d4c48ced2de46d21c,1768616857,Added profile initialization and integration with TUI,https://github.com/tldrwtf/pokedo/compare/8ccf7ee3a6930b02f438562d4c48ced2de46d21c...94aab7403d8ca037f76a803db1642efe7b5f17b3,4,52.91,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,21,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:352=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:320=1;RandomMustUseSeed:/pokedo/core/rewards.py:202=1;RandomMustUseSeed:/pokedo/core/rewards.py:313=1;RandomMustUseSeed:/pokedo/core/rewards.py:227=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1,22,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rich/markup.py:157=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:495=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:549=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1553=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1555=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/typer/main.py:1558=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:348=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/h11/_connection.py:350=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:352=1;RandomMustUseSeed:/pokedo/utils/helpers.py:28=1;RandomMustUseSeed:/pokedo/core/pokemon.py:109=1;RandomMustUseSeed:/pokedo/core/rewards.py:320=1;RandomMustUseSeed:/pokedo/core/rewards.py:202=1;RandomMustUseSeed:/pokedo/core/rewards.py:313=1;RandomMustUseSeed:/pokedo/core/rewards.py:227=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1,
