timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134021,6502a0edea6930d3756d1b27f5c3a9c729b5aa86,,1725816997,Add support for Python 3.13 (#1363),,,x,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167;ComparisonBehaviorAnalysis:/tests/util.py:135;ComparisonBehaviorAnalysis:/tests/util.py:150;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:214;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901;ComparisonBehaviorAnalysis:/tests/test_ssl.py:234,0,,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:214=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:234=1,0,,
20260324_134021,5c622500cb91622f1bffa7f3798ce198e1476e96,6502a0edea6930d3756d1b27f5c3a9c729b5aa86,1728389810,update for latest sphinx rtd theme release (#1368),https://github.com/pyca/pyopenssl/compare/6502a0edea6930d3756d1b27f5c3a9c729b5aa86...5c622500cb91622f1bffa7f3798ce198e1476e96,1,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:214=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:234=1,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:214=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:234=1,
20260324_134021,24cc2c1765fe4534692e493208c403cbdfc46205,5c622500cb91622f1bffa7f3798ce198e1476e96,1729859188,Refactor two tests that rely on deprecated APIs (#1375),https://github.com/pyca/pyopenssl/compare/5c622500cb91622f1bffa7f3798ce198e1476e96...24cc2c1765fe4534692e493208c403cbdfc46205,2,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:214=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:234=1,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210<=Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:214;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230<=ComparisonBehaviorAnalysis:/tests/test_ssl.py:234
20260324_134021,a6678a953150a1d5c2ed944b16246531aa60d7c4,24cc2c1765fe4534692e493208c403cbdfc46205,1729941211,make deprecation warnings more prominent in docs (#1379),https://github.com/pyca/pyopenssl/compare/24cc2c1765fe4534692e493208c403cbdfc46205...a6678a953150a1d5c2ed944b16246531aa60d7c4,1,x,0,,0,,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,
20260324_134021,7e1660b84443dae0bfb9e57adcaa2bbd07e5af12,a6678a953150a1d5c2ed944b16246531aa60d7c4,1730084640,Remove APIs that have been deprecated for a year (#1374),https://github.com/pyca/pyopenssl/compare/a6678a953150a1d5c2ed944b16246531aa60d7c4...7e1660b84443dae0bfb9e57adcaa2bbd07e5af12,2,x,0,,0,,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,
20260324_134021,8afc1d84236ce095accadd00f02969995a245952,7e1660b84443dae0bfb9e57adcaa2bbd07e5af12,1736264161,fix two more incorrect type annotations (#1392),https://github.com/pyca/pyopenssl/compare/7e1660b84443dae0bfb9e57adcaa2bbd07e5af12...8afc1d84236ce095accadd00f02969995a245952,6,x,0,,0,,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210<=Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230<=ComparisonBehaviorAnalysis:/tests/test_ssl.py:230
20260324_134021,10acb2bf09a85e3f6f087b4ed8f882c7d585af9b,8afc1d84236ce095accadd00f02969995a245952,1736264246,Annotate a zillion test functions with -> None (#1393),https://github.com/pyca/pyopenssl/compare/8afc1d84236ce095accadd00f02969995a245952...10acb2bf09a85e3f6f087b4ed8f882c7d585af9b,3,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,ComparisonBehaviorAnalysis:/tests/util.py:135<=ComparisonBehaviorAnalysis:/tests/util.py:135;ComparisonBehaviorAnalysis:/tests/util.py:150<=ComparisonBehaviorAnalysis:/tests/util.py:150;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210<=Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230<=ComparisonBehaviorAnalysis:/tests/test_ssl.py:230
20260324_134021,02eda54a230002a1633af5e57745b9e7c015dc8e,10acb2bf09a85e3f6f087b4ed8f882c7d585af9b,1736330009,Remove a bunch of tests for contents that haven't existed in years (#1401),https://github.com/pyca/pyopenssl/compare/10acb2bf09a85e3f6f087b4ed8f882c7d585af9b...02eda54a230002a1633af5e57745b9e7c015dc8e,6,x,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;ComparisonBehaviorAnalysis:/tests/test_crypto.py:3655,2,ComparisonBehaviorAnalysis:/tests/util.py:135;ComparisonBehaviorAnalysis:/tests/util.py:150,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/test_crypto.py:3655=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:203=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:223=1,6,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/util.py:135=1;ComparisonBehaviorAnalysis:/tests/util.py:150=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:230=1,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:203<=Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:210;ComparisonBehaviorAnalysis:/tests/test_ssl.py:223<=ComparisonBehaviorAnalysis:/tests/test_ssl.py:230
20260324_134021,9baefbaade98c6b76650fbfe07bf19b926578779,02eda54a230002a1633af5e57745b9e7c015dc8e,1736391420,Bring us under 100 test_ssl type-check issues (#1404),https://github.com/pyca/pyopenssl/compare/02eda54a230002a1633af5e57745b9e7c015dc8e...9baefbaade98c6b76650fbfe07bf19b926578779,5,x,0,,0,,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/test_crypto.py:3655=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:203=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:223=1,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/test_crypto.py:3655=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:203=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:223=1,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:203<=Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:203;ComparisonBehaviorAnalysis:/tests/test_ssl.py:223<=ComparisonBehaviorAnalysis:/tests/test_ssl.py:223
20260324_134021,9422c3688eec75f825949e367ea7cfb26b1c49c5,9baefbaade98c6b76650fbfe07bf19b926578779,1736449363,Bring us under 30 test_ssl type-check issues (#1406),https://github.com/pyca/pyopenssl/compare/9baefbaade98c6b76650fbfe07bf19b926578779...9422c3688eec75f825949e367ea7cfb26b1c49c5,1,x,0,,0,,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/test_crypto.py:3655=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:204=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:224=1,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1167=1;ComparisonBehaviorAnalysis:/tests/test_crypto.py:3655=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:203=1;Pydocs_MustCloseSocket:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;ComparisonBehaviorAnalysis:/tests/test_ssl.py:223=1,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:204<=Pydocs_MustShutdownBeforeCloseSocket:/tests/test_ssl.py:203;ComparisonBehaviorAnalysis:/tests/test_ssl.py:224<=ComparisonBehaviorAnalysis:/tests/test_ssl.py:223
