timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134000,a4ba8cc3871a031e3f920bff032e350337e44610,,1653836987,Fix transmitter action code due to battery status (#95),,,61.05,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:475,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:475=1,0,,
20260324_134000,6d4270155603716ba2a360a6e6f872ea7a401c8e,a4ba8cc3871a031e3f920bff032e350337e44610,1653837721,Add code lock status response (#96),https://github.com/alengwenus/pypck/compare/a4ba8cc3871a031e3f920bff032e350337e44610...6d4270155603716ba2a360a6e6f872ea7a401c8e,4,61.17,0,,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:475=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:475=1,
20260324_134000,cb07578709c3f5c393593c8fcc6ed5f7db419d0c,6d4270155603716ba2a360a6e6f872ea7a401c8e,1654314355,Bump to 0.7.15 (#97),https://github.com/alengwenus/pypck/compare/6d4270155603716ba2a360a6e6f872ea7a401c8e...cb07578709c3f5c393593c8fcc6ed5f7db419d0c,1,61.17,0,,0,,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:475=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:475=1,
20260324_134000,68da37e8be641c0d4d1729e8953b1ed54b2febda,cb07578709c3f5c393593c8fcc6ed5f7db419d0c,1672670482,Fix setting relative variable change (#98),https://github.com/alengwenus/pypck/compare/cb07578709c3f5c393593c8fcc6ed5f7db419d0c...68da37e8be641c0d4d1729e8953b1ed54b2febda,10,69.88,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:475,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:475=1,
20260324_134000,feb46b88b9d0afadcdbd3be9de96caae20871dfd,68da37e8be641c0d4d1729e8953b1ed54b2febda,1672670887,Bump to 0.7.16 (#100),https://github.com/alengwenus/pypck/compare/68da37e8be641c0d4d1729e8953b1ed54b2febda...feb46b88b9d0afadcdbd3be9de96caae20871dfd,1,69.88,0,,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,
20260324_134000,84733f51264848e0411aa93227ac84b38295e221,feb46b88b9d0afadcdbd3be9de96caae20871dfd,1674385547,Add UMF and WBH hardware types (#101),https://github.com/alengwenus/pypck/compare/feb46b88b9d0afadcdbd3be9de96caae20871dfd...84733f51264848e0411aa93227ac84b38295e221,1,69.91000000000001,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,
20260324_134000,75bc0f8b38134ce2c964ec0c8b0b8ac40c69ff7b,84733f51264848e0411aa93227ac84b38295e221,1674388871,Replace Union by its operator (#102),https://github.com/alengwenus/pypck/compare/84733f51264848e0411aa93227ac84b38295e221...75bc0f8b38134ce2c964ec0c8b0b8ac40c69ff7b,8,69.95,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,
20260324_134000,0bee1b666bfe04f20cf9bfba741e46481f20f18d,75bc0f8b38134ce2c964ec0c8b0b8ac40c69ff7b,1676041821,Update test dependencies (#103),https://github.com/alengwenus/pypck/compare/75bc0f8b38134ce2c964ec0c8b0b8ac40c69ff7b...0bee1b666bfe04f20cf9bfba741e46481f20f18d,1,69.95,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:175,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:175=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1598=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:174=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,
20260324_134000,42e06be8f1c4d0838569df0c1fa93622533ba407,0bee1b666bfe04f20cf9bfba741e46481f20f18d,1705850154,Add close delay to allow host free up used license (#110),https://github.com/alengwenus/pypck/compare/0bee1b666bfe04f20cf9bfba741e46481f20f18d...42e06be8f1c4d0838569df0c1fa93622533ba407,5,78.92,4,Pydocs_ShouldUseStreamWriterCorrectly:/tests/fake_pchk.py:64;Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:171;Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:155;Pydocs_ShouldUseStreamWriterCorrectly:/pythonmop/pymop-startup-helper/sitecustomize.py:1901,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:175=1;Pydocs_ShouldUseStreamWriterCorrectly:/tests/fake_pchk.py:64=1;Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:171=1;Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:155=1;Pydocs_ShouldUseStreamWriterCorrectly:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:175=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,
20260324_134000,37ff3a851db0e7f0e3f2b6bead4509a320f93f48,42e06be8f1c4d0838569df0c1fa93622533ba407,1705904878,Revert close delay,https://github.com/alengwenus/pypck/compare/42e06be8f1c4d0838569df0c1fa93622533ba407...37ff3a851db0e7f0e3f2b6bead4509a320f93f48,1,78.92,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603,0,,7,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:175=1;Pydocs_ShouldUseStreamWriterCorrectly:/tests/fake_pchk.py:64=1;Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:171=1;Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:155=1;Pydocs_ShouldUseStreamWriterCorrectly:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:175=1;Pydocs_ShouldUseStreamWriterCorrectly:/tests/fake_pchk.py:64=1;Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:171=1;Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:155=1;Pydocs_ShouldUseStreamWriterCorrectly:/pythonmop/pymop-startup-helper/sitecustomize.py:1901=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/_pytest/cacheprovider.py:433=1,Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:171<=Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:171;Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:155<=Pydocs_ShouldUseStreamWriterCorrectly:/pypck/connection.py:155
