timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134034,517e9e327bb2003d740da4ee574817e7b06b3cd1,,1703935370,lint(visualizer): fix linting,,,87.86,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,0,,
20260324_134034,a6c3b66ffb846976f0d493f0d23bfc39444eba39,517e9e327bb2003d740da4ee574817e7b06b3cd1,1704460631,fix(visualize): use absolute path for font,https://github.com/sign-language-processing/signwriting/compare/517e9e327bb2003d740da4ee574817e7b06b3cd1...a6c3b66ffb846976f0d493f0d23bfc39444eba39,4,91.75,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1,
20260324_134034,1311c27d8257bb2d007119c1f953b2392003981c,a6c3b66ffb846976f0d493f0d23bfc39444eba39,1704462131,chore(): add pre commit hook,https://github.com/sign-language-processing/signwriting/compare/a6c3b66ffb846976f0d493f0d23bfc39444eba39...1311c27d8257bb2d007119c1f953b2392003981c,1,91.75,0,,0,,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1,
20260324_134034,418792d98e046a914b3297eaf4321c4006d6d64e,1311c27d8257bb2d007119c1f953b2392003981c,1704628019,fix(visualizer): draw fill before line,https://github.com/sign-language-processing/signwriting/compare/1311c27d8257bb2d007119c1f953b2392003981c...418792d98e046a914b3297eaf4321c4006d6d64e,2,91.96,2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1,
20260324_134034,48a601eca05a4122a1736c70a8f37b629a6a52ce,418792d98e046a914b3297eaf4321c4006d6d64e,1704709196,docs(readme): add installation and usage examples,https://github.com/sign-language-processing/signwriting/compare/418792d98e046a914b3297eaf4321c4006d6d64e...48a601eca05a4122a1736c70a8f37b629a6a52ce,1,91.99,0,,0,,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,
20260324_134034,953dd219fcfbd77d4a1da312ca3263cfe7f619fc,48a601eca05a4122a1736c70a8f37b629a6a52ce,1704779592,fix(tokenizer): correctly separate signs by new sign symbol,https://github.com/sign-language-processing/signwriting/compare/48a601eca05a4122a1736c70a8f37b629a6a52ce...953dd219fcfbd77d4a1da312ca3263cfe7f619fc,2,92.16,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851;StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19,0,,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,4,InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,
20260324_134034,d2503b53bf1eb7bbaff28b3bd3a668948f49f327,953dd219fcfbd77d4a1da312ca3263cfe7f619fc,1704779924,fix(tokenizer): do not treat sign prefix as a sign,https://github.com/sign-language-processing/signwriting/compare/953dd219fcfbd77d4a1da312ca3263cfe7f619fc...d2503b53bf1eb7bbaff28b3bd3a668948f49f327,2,92.33,0,,0,,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19<=StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19
20260324_134034,086a63190244afe16d5328b72282bf98d3e8c332,d2503b53bf1eb7bbaff28b3bd3a668948f49f327,1706168044,feat(tokenizer): add fsw normalization,https://github.com/sign-language-processing/signwriting/compare/d2503b53bf1eb7bbaff28b3bd3a668948f49f327...086a63190244afe16d5328b72282bf98d3e8c332,3,92.68,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,5,StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,
20260324_134034,0fdc36f0080df31b10fab06517a02516bfc2d58e,086a63190244afe16d5328b72282bf98d3e8c332,1706690728,feat(visualize): add option to not trust the box,https://github.com/sign-language-processing/signwriting/compare/086a63190244afe16d5328b72282bf98d3e8c332...0fdc36f0080df31b10fab06517a02516bfc2d58e,2,93.1,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851,0,,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,5,StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,
20260324_134034,77816fe220303bb19946e71b35d88f581a1b61b8,0fdc36f0080df31b10fab06517a02516bfc2d58e,1710330925,fix(signwriting_tokenizer): fix #4,https://github.com/sign-language-processing/signwriting/compare/0fdc36f0080df31b10fab06517a02516bfc2d58e...77816fe220303bb19946e71b35d88f581a1b61b8,2,93.19,0,,0,,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,6,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1851=1;StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:815=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/testing/_private/utils.py:818=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:327=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/_dtype.py:330=1,StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19<=StringConcatAnalysis:/signwriting/tokenizer/signwriting_tokenizer.py:19
