timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations,violations_current_parent_commit_mapping
20260324_134042,d2e8bb1274e90ef56961e6bb71294eb78186893b,,1682987363,Bump flask from 2.2.3 to 2.3.2,,,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1,0,,
20260324_134042,a54c809e9db7451c8b3698c719dc21a2ee0a2003,d2e8bb1274e90ef56961e6bb71294eb78186893b,1684823180,Bump requests from 2.28.2 to 2.31.0,https://github.com/UtrechtUniversity/yoda-external-user-service/compare/d2e8bb1274e90ef56961e6bb71294eb78186893b...a54c809e9db7451c8b3698c719dc21a2ee0a2003,1,x,0,,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1,
20260324_134042,528cbe5c593773b23b493faec36145032b521409,a54c809e9db7451c8b3698c719dc21a2ee0a2003,1693580784,YDA-5380: add option for validating email address,https://github.com/UtrechtUniversity/yoda-external-user-service/compare/a54c809e9db7451c8b3698c719dc21a2ee0a2003...528cbe5c593773b23b493faec36145032b521409,4,x,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603,0,,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1,
20260324_134042,cadef20c46985307cfdf46d64531f7c8edd8265c,528cbe5c593773b23b493faec36145032b521409,1696316880,Pin Werkzeug to version 2.3.7,https://github.com/UtrechtUniversity/yoda-external-user-service/compare/528cbe5c593773b23b493faec36145032b521409...cadef20c46985307cfdf46d64531f7c8edd8265c,1,x,11,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478,0,,11,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,0,,
20260324_134042,3fe8f6b2f63b7da2559d12177b1eb194b24fd5f3,cadef20c46985307cfdf46d64531f7c8edd8265c,1697632685,Add integration tests interpunction in passwords,https://github.com/UtrechtUniversity/yoda-external-user-service/compare/cadef20c46985307cfdf46d64531f7c8edd8265c...3fe8f6b2f63b7da2559d12177b1eb194b24fd5f3,2,x,1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603,0,,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,11,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14<=Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15<=Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15
20260324_134042,d51918b0b628d6548b88430c38ff33b902e5afd8,3fe8f6b2f63b7da2559d12177b1eb194b24fd5f3,1697633424,Update Flask-WTF to version 1.2.1,https://github.com/UtrechtUniversity/yoda-external-user-service/compare/3fe8f6b2f63b7da2559d12177b1eb194b24fd5f3...d51918b0b628d6548b88430c38ff33b902e5afd8,1,x,0,,0,,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,
20260324_134042,a6cbc78bf57df54cbbb2d8b3525f30ea3793ca5f,d51918b0b628d6548b88430c38ff33b902e5afd8,1697639889,YDA-5505: do not accept backslashes in passwords,https://github.com/UtrechtUniversity/yoda-external-user-service/compare/d51918b0b628d6548b88430c38ff33b902e5afd8...a6cbc78bf57df54cbbb2d8b3525f30ea3793ca5f,3,x,0,,0,,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14<=Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15<=Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15
20260324_134042,441723f7f179360b4085dc015c052f2eaf5baa4f,a6cbc78bf57df54cbbb2d8b3525f30ea3793ca5f,1697701572,Add integration test activation long password,https://github.com/UtrechtUniversity/yoda-external-user-service/compare/a6cbc78bf57df54cbbb2d8b3525f30ea3793ca5f...441723f7f179360b4085dc015c052f2eaf5baa4f,2,x,0,,0,,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14<=Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15<=Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15
20260324_134042,4fc21f0450da807a28dc9e40f1c03e632037a3b1,441723f7f179360b4085dc015c052f2eaf5baa4f,1702391992,YDA-5546: harden static loader,https://github.com/UtrechtUniversity/yoda-external-user-service/compare/441723f7f179360b4085dc015c052f2eaf5baa4f...4fc21f0450da807a28dc9e40f1c03e632037a3b1,6,x,1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:74,2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73,11,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:74=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,12,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1603=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:73=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14<=Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15<=Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15
20260324_134042,ae79538a70b717cfc681bdd5f7597ef6ef4bcfc1,4fc21f0450da807a28dc9e40f1c03e632037a3b1,1705567633,Bump werkzeug to 2.3.8,https://github.com/UtrechtUniversity/yoda-external-user-service/compare/4fc21f0450da807a28dc9e40f1c03e632037a3b1...ae79538a70b717cfc681bdd5f7597ef6ef4bcfc1,1,x,0,,0,,11,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:74=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,11,InvalidComparisonAnalysis:/lib/python3.12/site-packages/_pytest/fixtures.py:1109=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/sql/selectable.py:1459=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3256=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:754=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1426=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/_pytest/monkeypatch.py:397=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/config.py:232=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/yoda_eus/app.py:74=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:14=1;Flask_NoModifyAfterServe:/yoda_eus/tests/test_integration.py:15=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:1478=1,
